"Län","Gröda","Variabel","Tabelluppgift","2021","2022","2023","2024","2025"
"06 Jönköpings län","Rågvete","Areal, hektar","Värde",1090,1310,970,1130,1590
"06 Jönköpings län","Rågvete","Totalskörd, ton","Värde",5400,6700,3400,5100,7800
"06 Jönköpings län","Höstrågvete","Areal, hektar","Värde",1000,1280,850,1000,1400
"06 Jönköpings län","Höstrågvete","Totalskörd, ton","Värde",5200,6600,3100,4600,7000
"06 Jönköpings län","Vårrågvete","Areal, hektar","Värde",90,30,120,130,190
"06 Jönköpings län","Vårrågvete","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Blandsäd","Areal, hektar","Värde",560,750,160,510,390
"06 Jönköpings län","Blandsäd","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Majs","Areal, hektar","Värde",..,..,..,..,30
"06 Jönköpings län","Majs","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Spannmål totalt","Areal, hektar","Värde",15630,14370,10930,13800,16100
"06 Jönköpings län","Spannmål totalt","Totalskörd, ton","Värde",58800,64600,36600,53600,80900
"06 Jönköpings län","Ärter","Areal, hektar","Värde",100,60,80,60,90
"06 Jönköpings län","Ärter","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Åkerbönor","Areal, hektar","Värde",90,40,50,30,20
"06 Jönköpings län","Åkerbönor","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Höstraps","Areal, hektar","Värde",520,660,590,410,600
"06 Jönköpings län","Höstraps","Totalskörd, ton","Värde",1600,2200,..,..,..
"06 Jönköpings län","Vårraps","Areal, hektar","Värde",40,20,30,30,20
"06 Jönköpings län","Vårraps","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Höstrybs","Areal, hektar","Värde",..,30,60,40,..
"06 Jönköpings län","Höstrybs","Totalskörd, ton","Värde",..,..,..,..,..
